beınsport-beın sport
başkanıengin-başkanı engin
kendiniçin-kendin için
camsilme-cam silme
başımızsaolsun-başımız saolsun
mypiyasa-my piyasa
fidanhan-fidan han
hiçbiriş-hiçbir iş
konuşdiye-konuş diye
sunmyung-sun myung
fazlaşey-fazla şey
çambalını-çam balını
küçükhesaplar-küçük hesaplar
amfitiyatrosunun-amfi tiyatrosunun
fredmi-fred mi
texasmı-texas mı
sürerama-sürer ama
hapalan-hap alan
kotbi-kot bi
çıkarıldıki-çıkarıldı ki
skytg-sky tg
gerivites-geri vites
yarımsaatin-yarım saatin
beyahu-be yahu
sadıkhan-sadık han
ederimgüzel-ederim güzel
kazıevinde-kazı evinde
türkiyeile-türkiye ile
boyukaç-boyu kaç
kamusen-kamu sen
balıklıçermik-balıklı çermik
cahitzarifoğlu-cahit zarifoğlu
gayrımuayyen-gayrı muayyen
dokuzon-dokuz on
sison-si son
işteonu-işte onu
hadiiyi-hadi iyi
önceliklebizim-öncelikle bizim
haburtur-habur tur
pinklady-pink lady
türkiyeilk-türkiye ilk
köylerdenbirinde-köylerden birinde
festivallerarası-festivaller arası
aleynatilkinin-aleyna tilkinin
sarıbeyaz-sarı beyaz
tokaçın-tok açın
hürremmi-hürrem mi
ruskızları-rus kızları
pufmu-puf mu
uluslarötesi-uluslar ötesi
hiçsanmıyorum-hiç sanmıyorum
abdiçin-abd için
yavanve-yavan ve
neyaptınız-ne yaptınız
esiçin-es için
buffalobill-buffalo bill
kanseribir-kanseri bir
bırara-bır ara
gördüğübir-gördüğü bir
hayalettren-hayalet tren
trenyolunda-tren yolunda
teknomüzik-tekno müzik
yadedelim-yad edelim
•uzun-• uzun
acııı-ac ııı
alınmışbir-alınmış bir
pkkdestekçisi-pkk destekçisi
sağdakikadın-sağdaki kadın
incittiğimiçin-incittiğim için
oyçokluğuyla-oy çokluğuyla
isimsoyisim-isim soyisim
hardisk-har disk
eylüldöneminin-eylül döneminin
bluelabel-blue label
marieann-marie ann
notdefterine-not defterine
bilgiverebilirseniz-bilgi verebilirseniz
onbinlerle-on binlerle
notdefterini-not defterini
vesanat-ve sanat
üzeretoplam-üzere toplam
binkat-bin kat
terimmi-terim mi
antifüze-anti füze
iyiyimdedi-iyiyim dedi
bidüşünün-bi düşünün
teşeküreder-teşekür eder
istasyonuinşaat-istasyonu inşaat
lebreton-le breton
doğanşafak-doğan şafak
duvarkağıdına-duvar kağıdına
sevyeni-sev yeni
kızlayattın-kızla yattın
birönceki-bir önceki
şekiliçin-şekil için
kerimvar-kerim var
yıldızlaragiden-yıldızlara giden
haklısınama-haklısın ama
nasılyapılacağını-nasıl yapılacağını
jeanbu-jean bu
yayayolundan-yaya yolundan
bölediye-böle diye
öyledemek-öyle demek
başkanlığıiçin-başkanlığı için
maçsonuna-maç sonuna
dönerkebap-döner kebap
valibeyin-vali beyin
nayer-na yer
rajsen-raj sen
balinakuyruğu-balina kuyruğu
herçeşit-her çeşit
aralıktayüzde-aralıkta yüzde
openair-open air
parmakuçlarındaki-parmak uçlarındaki
teknosayada-teknosa yada
araştırmakve-araştırmak ve
manyağıolduğumu-manyağı olduğumu
futboloynadık-futbol oynadık
onbinlerin-on binlerin
kayaoyma-kaya oyma
duydumyani-duydum yani
bebeklerisağlıklı-bebekleri sağlıklı
döndur-dön dur
kimsevmez-kim sevmez
hitem-hit em
bahçelerarası-bahçeler arası
newwave-new wave
serçekuşu-serçe kuşu
benzingrubunda-benzin grubunda
isteböyle-iste böyle
biryapı-bir yapı
oldukdiye-olduk diye
tardedilmiş-tard edilmiş
şekerfabrikaları-şeker fabrikaları
işkanunu-iş kanunu
olmuşyani-olmuş yani
ortakarar-orta karar
yeniteknik-yeni teknik
sütlüçay-sütlü çay
jbsiz-jb siz
sılayolunda-sıla yolunda
ihracatithalat-ihracat ithalat
goremı-gore mı
geneonun-gene onun
profilyazısı-profil yazısı
açanadam-açan adam
açkal-aç kal
ailedostu-aile dostu
birazsaygı-biraz saygı
derben-der ben
cbının-cb ının
edeceğiduyuruldu-edeceği duyuruldu
altıngüvercin-altın güvercin
diyeneben-diyene ben
ekosiyaset-eko siyaset
gönülrahatlığıyla-gönül rahatlığıyla
skymap-sky map
kayıtkabul-kayıt kabul
karakterliiyi-karakterli iyi
sözyazarı-söz yazarı
işideğil-işi değil
saygıgösteririm-saygı gösteririm
saintclair-saint clair
binkez-bin kez
birbölümü-bir bölümü
eğitimtemel-eğitim temel
gündemyaratmaya-gündem yaratmaya
bilmemnerde-bilmem nerde
mavinokta-mavi nokta
ayşenazlı-ayşe nazlı
gidipgelir-gidip gelir
bizaman-bi zaman
artıkve-artık ve
altıntepsi-altın tepsi
önaraştırma-ön araştırma
düşünenlerve-düşünenler ve
inanılmazama-inanılmaz ama
marylynn-mary lynn
türkçeolarak-türkçe olarak
veribankasında-veri bankasında
karıkarı-karı karı
vaadedilenleri-vaad edilenleri
canercan-caner can
ikidebiri-ikide biri
bağevinde-bağ evinde
başaçıkamıyoruz-başa çıkamıyoruz
lazımbana-lazım bana
birtürk-bir türk
olsundiyerek-olsun diyerek
bulacağınısöylemiş-bulacağını söylemiş
pasokartı-paso kartı
allahımyaaa-allahım yaaa
hadikızlar-hadi kızlar
yaparki-yapar ki
yabenim-ya benim
insanlarıartık-insanları artık
tabakçanakları-tabak çanakları
beyninibu-beynini bu
gitsindiyen-gitsin diyen
littlefoot-little foot
smartscreen-smart screen
altındayatan-altında yatan
görüyorsunki-görüyorsun ki
horozbu-horoz bu
skyfe-sky fe
zarmı-zar mı
torproject-tor project
memore-me more
yenibaştan-yeni baştan
yeaadiye-yeaa diye
mtkadar-mt kadar
alışverişmerkezi-alışveriş merkezi
disiplinkurulu-disiplin kurulu
balkantürkü-balkan türkü
yıldızve-yıldız ve
rollcage-roll cage
judymi-judy mi
gözçevresi-göz çevresi
takımıve-takımı ve
oralseksten-oral seksten
çıkben-çık ben
yeveya-ye veya
trollface-troll face
basınekspres-basın ekspres
ikitürlü-iki türlü
mehmethan-mehmet han
onaltıncı-on altıncı
işibitince-işi bitince
etmemeksizin-etmemek sizin
öncekigibi-önceki gibi
teleiletişim-tele iletişim
perigecesi-peri gecesi
—bunu-— bunu
spermbankası-sperm bankası
ekrangörüntüsünde-ekran görüntüsünde
vatankurtaran-vatan kurtaran
iranırak-iran ırak
•bazı-• bazı
sonuçalan-sonuç alan
anagündem-ana gündem
beyazşarap-beyaz şarap
hddme-hdd me
fairplayden-fair playden
hddmi-hdd mi
ilgilisoruları-ilgili soruları
çalışıyordiye-çalışıyor diye
şeyolmuyor-şey olmuyor
olmuşsunsen-olmuşsun sen
başkanıorgeneral-başkanı orgeneral
halolur-hal olur
mayise-may ise
iletişimile-iletişim ile
richardise-richard ise
özbabası-öz babası
halitağa-halit ağa
inlove-in love
lalegülfm-lalegül fm
terminatörgibi-terminatör gibi
geldimhala-geldim hala
değerlideğil-değerli değil
lejournal-le journal
binayageçiş-binaya geçiş
bellekbu-bellek bu
olurki-olur ki
handenaz-hande naz
alaykonusu-alay konusu
takımelbiseyle-takım elbiseyle
sevappoints-sevap points
tespitdışı-tespit dışı
memnudizisinde-memnu dizisinde
şeydeğildi-şey değildi
siktiret-siktir et
ehani-e hani
hayırdedi-hayır dedi
banaburada-bana burada
serbestbölgenin-serbest bölgenin
konuşacağızçünkü-konuşacağız çünkü
seyithacı-seyit hacı
—sıvas-— sıvas
pierrehenry-pierre henry
lilkim-lil kim
jetmotorunu-jet motorunu
mayıt-may ıt
yatmakzorunda-yatmak zorunda
kasperskydır-kaspersky dır
eksisözlük-eksi sözlük
maçsonucu-maç sonucu
cevabınevet-cevabın evet
bencezaten-bence zaten
ceyhunhoca-ceyhun hoca
göktanrısı-gök tanrısı
sesverin-ses verin
yadedecekler-yad edecekler
teröristbaşının-terörist başının
hürriyetemlak-hürriyet emlak
beğendiki-beğendi ki
evitaminleri-e vitaminleri
rdiye-r diye
gücüvar-gücü var
buluruzdedi-buluruz dedi
şimdisenin-şimdi senin
oyyok-oy yok
airbaltic-air baltic
tarsusbeyazı-tarsus beyazı
gözdençıkaran-gözden çıkaran
ağcabey-ağca bey
altıçizili-altı çizili
oğlançocuğu-oğlan çocuğu
profilsayfaları-profil sayfaları
dahaağır-daha ağır
bradiçin-brad için
yedidüvelle-yedi düvelle
unhelvası-un helvası
onaylıcam-onaylı cam
jackmi-jack mi
kanunmu-kanun mu
elmundo-el mundo
ölümünesebep-ölümüne sebep
googleplus-google plus
kingmi-king mi
bilardomasası-bilardo masası
taşplak-taş plak
esahip-e sahip
baktımbaktım-baktım baktım
dünyayabedel-dünyaya bedel
hikâyelermi-hikâyeler mi
sayındevlet-sayın devlet
irembağı-irem bağı
yaşamsürüyor-yaşam sürüyor
sakinsakin-sakin sakin
olurmu-olur mu
ıslakmendille-ıslak mendille
ağıryük-ağır yük
kandeğerleri-kan değerleri
zerosama-zero sama
abgenişleme-ab genişleme
—muğla-— muğla
boşageçmiş-boşa geçmiş
vaatettiğinden-vaat ettiğinden
süleymanmetin-süleyman metin
askeralma-asker alma
yamadağına-yama dağına
havaifişeklerini-havai fişeklerini
başkanıyakup-başkanı yakup
yardımediyordu-yardım ediyordu
paketçikolata-paket çikolata
yemekyiyorum-yemek yiyorum
turatıp-tur atıp
öledeme-öle deme
hardcopy-hard copy
yatakodanı-yatak odanı
italyave-italya ve
aldımçünkü-aldım çünkü
evlerive-evleri ve
denizotobüsünün-deniz otobüsünün
burayaözel-buraya özel
heremaps-here maps
leomu-leo mu
canavarbu-canavar bu
megaboy-mega boy
altınvuruş-altın vuruş
dtipi-d tipi
ngibi-n gibi
artıköyle-artık öyle
kazıyapıyorlar-kazı yapıyorlar
ayyyçok-ayyy çok
oyunoynuyorlar-oyun oynuyorlar
kartkurt-kart kurt
yapacağımdiyerek-yapacağım diyerek
ağırsiklet-ağır siklet
tuvaletile-tuvalet ile
batımerkezli-batı merkezli
beniben-beni ben
kendinigeliştirme-kendini geliştirme
bağımsızçalışan-bağımsız çalışan
alınyazım-alın yazım
asımınnesli-asımın nesli
artikbeni-artik beni
geçtidiye-geçti diye
brianmı-brian mı
pazargünlerini-pazar günlerini
konyayamı-konyaya mı
gitbaşka-git başka
oygeçersiz-oy geçersiz
bitakım-bi takım
petrolsahası-petrol sahası
haydigidip-haydi gidip
geriyedönüş-geriye dönüş
goodkat-good kat
airmax-air max
delray-del ray
yaşaltında-yaş altında
teşekkürlerbu-teşekkürler bu
dönüşügibi-dönüşü gibi
bileceksinki-bileceksin ki
kötügün-kötü gün
neyapıyorsun-ne yapıyorsun
habilise-habil ise
nuryerlitaş-nur yerlitaş
hoşben-hoş ben
konyatürk-konya türk
dayoff-day off
atatürkhavalimanında-atatürk havalimanında
cesurkız-cesur kız
neyapıp-ne yapıp
antepmi-antep mi
woobin-woo bin
yatakodamı-yatak odamı
zateniki-zaten iki
kredikartını-kredi kartını
benvarım-ben varım
britawards-brit awards
dairesimi-dairesi mi
sonlaradoğru-sonlara doğru
girlband-girl band
alaise-ala ise
erkhaber-erk haber
delarte-del arte
usbmi-usb mi
hepmutlu-hep mutlu
sağlikolsun-sağlik olsun
numarambir-numaram bir
bebebebe-bebe bebe
otiçtim-ot içtim
portsaid-port said
gitmeyekarar-gitmeye karar
budeğil-bu değil
dergisindeyayımlanan-dergisinde yayımlanan
tbmlerden-tbm lerden
liljon-lil jon
kanıdeli-kanı deli
hoteland-hotel and
mersinil-mersin il
sağgöz-sağ göz
yapılanresmi-yapılan resmi
anise-an ise
kızılaymı-kızılay mı
nedediğini-ne dediğini
kimseile-kimse ile
burdabeni-burda beni
partiüyeleri-parti üyeleri
kittymi-kitty mi
ikitaraftan-iki taraftan
başındakibir-başındaki bir
başlamıştırbu-başlamıştır bu
yatakodana-yatak odana
burdanhiç-burdan hiç
özgürlükmü-özgürlük mü
denizüssü-deniz üssü
ayise-ay ise
elfrenini-el frenini
turkfutbol-turk futbol
sümeyyegül-sümeyye gül
küçükolan-küçük olan
mahkemeyemi-mahkemeye mi
inanmıyorumbir-inanmıyorum bir
rollcall-roll call
crosstrainer-cross trainer
aradönemde-ara dönemde
insanlıkdüşmanı-insanlık düşmanı
biçimbiçim-biçim biçim
ilkfırsatta-ilk fırsatta
müdaha-mü daha
nasıltepki-nasıl tepki
atasporumuza-ata sporumuza
videoklibini-video klibini
cemaatdışı-cemaat dışı
gezginmi-gezgin mi
yapacağızdedi-yapacağız dedi
şeyolduğu-şey olduğu
takkelidağın-takkeli dağın
yüztuttuğu-yüz tuttuğu
haberlerindebu-haberlerinde bu
istiyoruzdiye-istiyoruz diye
siyasihareketinin-siyasi hareketinin
emonu-em onu
yoksabende-yoksa bende
gülahmet-gül ahmet
enhafif-en hafif
zordeğildi-zor değildi
sağlamve-sağlam ve
passatmı-passat mı
yanıbu-yanı bu
goldengoat-golden goat
devletbakanlığı-devlet bakanlığı
lolmü-lol mü
isteğiile-isteği ile
tekerüstü-teker üstü
damlagül-damla gül
hareketleridoğru-hareketleri doğru
meile-me ile
sizolsanız-siz olsanız
sayınbaşbakanım-sayın başbakanım
imanetmiş-iman etmiş
gunwoo-gun woo
bunlarbana-bunlar bana
şeyişte-şey işte
zekaküpü-zeka küpü
nasıgidiyor-nası gidiyor
nurve-nur ve
canbir-can bir
biryazı-bir yazı
boşgezen-boş gezen
biraaraya-bira araya
sorunubende-sorunu bende
alemdarpaşa-alemdar paşa
yapıkredi-yapı kredi
kürtve-kürt ve
yolkesip-yol kesip
tatlıtuğmu-tatlıtuğ mu
saçmalıkve-saçmalık ve
diile-di ile
yeşilkırmızı-yeşil kırmızı
bununadına-bunun adına
arttıbu-arttı bu
öncebiraz-önce biraz
geley-gel ey
bayramsonu-bayram sonu
yoktuki-yoktu ki
gayridemokratik-gayri demokratik
hydroterapi-hydro terapi
hazartv-hazar tv
kesikkulak-kesik kulak
nasıyani-nası yani
çayırcayır-çayır cayır
arasokakları-ara sokakları
bunbir-bun bir
bugüzel-bu güzel
huzurile-huzur ile
edelimbiraz-edelim biraz
statmı-stat mı
suanki-suan ki
islamülkeleriyle-islam ülkeleriyle
yağızoğlan-yağız oğlan
kökbir-kök bir
malcolmmu-malcolm mu
edindiye-edin diye
hakkarigücü-hakkari gücü
konuşursen-konuşur sen
anabaşlıkta-ana başlıkta
olarakyapılan-olarak yapılan
perşembecuma-perşembe cuma
ramizdayı-ramiz dayı
partidesiyaset-partide siyaset
oturdiye-otur diye
uzmançavuşu-uzman çavuşu
kanalfırat-kanal fırat
jetkasadan-jet kasadan
çiçekliköye-çiçekli köye
aldığıbazı-aldığı bazı
onparmak-on parmak
iyianlıyorum-iyi anlıyorum
askerkendi-asker kendi
bizartık-biz artık
onkadar-on kadar
bunaeminim-buna eminim
hepbüyük-hep büyük
abdülazizoğlu-abdülaziz oğlu
superlike-super like
nerdebenim-nerde benim
dikkatimiçeken-dikkatimi çeken
kimlermi-kimler mi
medikalparkın-medikal parkın
yaptığıbelirtildi-yaptığı belirtildi
etkindeğil-etkin değil
demekistediniz-demek istediniz
geldedim-gel dedim
birazbüyük-biraz büyük
tekses-tek ses
çoksıcak-çok sıcak
daolabilir-da olabilir
değeriyüksek-değeri yüksek
yanlışduymadınız-yanlış duymadınız
görüşmesiveya-görüşmesi veya
ötekiben-öteki ben
tasarlanmışbir-tasarlanmış bir
kürtmü-kürt mü
dışyatırım-dış yatırım
gelbi-gel bi
dedinbak-dedin bak
cdçaların-cd çaların
eydost-ey dost
edenbu-eden bu
vefaiçin-vefa için
canıtatlı-canı tatlı
önsiparişe-ön siparişe
playclub-play club
efendiben-efendi ben
handenur-hande nur
parlakgöz-parlak göz
gelindamat-gelin damat
telifhakları-telif hakları
akılbu-akıl bu
gönülalıcı-gönül alıcı
aralıkbaşı-aralık başı
ganipara-gani para
birproje-bir proje
dreampark-dream park
topiçin-top için
eryıl-er yıl
çoknadir-çok nadir
instagrammı-instagram mı
zamanlariyi-zamanlar iyi
—mehmet-— mehmet
ebulhayr-ebul hayr
atletiunvanını-atleti unvanını
görmezdengelme-görmezden gelme
dolartazminat-dolar tazminat
viçin-v için
paraüstü-para üstü
selamsabah-selam sabah
erkekleriçinde-erkekler içinde
okuduğumdahemen-okuduğumda hemen
pennymi-penny mi
moreat-more at
skyteam-sky team
olabilirmi-olabilir mi
sayınbaşkanım-sayın başkanım
gsyada-gs yada
saintgeorges-saint georges
efsaneadam-efsane adam
filmmi-film mi
doğabilimci-doğa bilimci
kusuruvarsa-kusuru varsa
kangbok-kang bok
thyise-thy ise
canavarmı-canavar mı
gölyeri-göl yeri
ortakgirişim-ortak girişim
stardiyarbakır-star diyarbakır
tylermı-tyler mı
urfakart-urfa kart
olsunarkadaşlar-olsun arkadaşlar
yöneliksözleri-yönelik sözleri
ekokaravan-eko karavan
sekizbuçukta-sekiz buçukta
dünbir-dün bir
şehityakınları-şehit yakınları
veözel-ve özel
dışsiyasette-dış siyasette
annediye-anne diye
senigörüyorum-seni görüyorum
sözolarak-söz olarak
eskidünya-eski dünya
babababa-baba baba
olabilirki-olabilir ki
yankomşumuz-yan komşumuz
okkadar-ok kadar
engüzeli-en güzeli
dason-da son
doyoung-do young
kararıaldıklarını-kararı aldıklarını
korobu-koro bu
aldımbu-aldım bu
highprofile-high profile
fırdönüyor-fır dönüyor
hainidenir-haini denir
kapatmadavası-kapatma davası
yüzdenmi-yüzden mi
irigöbekli-iri göbekli
herhangibirinde-herhangi birinde
türkçekarakter-türkçe karakter
cevapveririm-cevap veririm
içinartık-için artık
fosilbilimci-fosil bilimci
kaynaklarınıkullanmaya-kaynaklarını kullanmaya
tarihsaat-tarih saat
ogüzel-o güzel
özgelir-öz gelir
vurdumdiye-vurdum diye
işlerivardı-işleri vardı
ölenlerive-ölenleri ve
kafamıboşaltmam-kafamı boşaltmam
mavimavi-mavi mavi
hizmetkalitesi-hizmet kalitesi
üretmekiçin-üretmek için
nasıliş-nasıl iş
babiçin-bab için
neişin-ne işin
birşeyyoktur-birşey yoktur
türkspor-türk spor
ağırtopları-ağır topları
araştırmagemisi-araştırma gemisi
hiçbiriz-hiçbir iz
gayriinsanı-gayri insanı
helikopterkiralama-helikopter kiralama
•yeşil-• yeşil
masaörtüsüne-masa örtüsüne
fonmüziği-fon müziği
dervişcemal-derviş cemal
güzelkız-güzel kız
mahmutçelebi-mahmut çelebi
çoğunuevde-çoğunu evde
dreambox-dream box
boygösterisi-boy gösterisi
ecsin-ec sin
simitevi-simit evi
ahırdağ-ahır dağ
lerson-ler son
denizkaplumbağaları-deniz kaplumbağaları
herdakika-her dakika
mamere-ma mere
kartalgözü-kartal gözü
anabaşlıkları-ana başlıkları
verilsindiye-verilsin diye
çeşitşey-çeşit şey
fbıajanı-fbı ajanı
yanitek-yani tek
zamanbelki-zaman belki
daycare-day care
genelkurmaybaşkanım-genelkurmay başkanım
evedöndüklerinde-eve döndüklerinde
çakşu-çak şu
kürtajhapı-kürtaj hapı
yarıalanına-yarı alanına
kurdudiye-kurdu diye
ikizlerkadını-ikizler kadını
kuranmeali-kuran meali
dasis-das is
taneşey-tane şey
mahalleevi-mahalle evi
çatalkaram-çatal karam
adamıolmaya-adamı olmaya
çoktadikkat-çokta dikkat
etmesininnedenlerinden-etmesinin nedenlerinden
abdulmuhsin-abdul muhsin
plandışı-plan dışı
okudumzaten-okudum zaten
bardaksüt-bardak süt
jerrymi-jerry mi
ggrubu-g grubu
allahsenin-allah senin
önelemesinde-ön elemesinde
görmenlazım-görmen lazım
minegül-mine gül
amaonların-ama onların
thyile-thy ile
kötüolan-kötü olan
bilgisiçok-bilgisi çok
ipadmi-ipad mi
olarakilan-olarak ilan
neredeyseilk-neredeyse ilk
istiyorbu-istiyor bu
amfitiyatrosunda-amfi tiyatrosunda
gazbombasıyla-gaz bombasıyla
kölnarena-köln arena
zevkiiçin-zevki için
bigerçek-bi gerçek
pirinçhanın-pirinç hanın
adamhaklı-adam haklı
uzgider-uz gider
aldığımfiyat-aldığım fiyat
içtüketimi-iç tüketimi
antibizans-anti bizans
hüzünlüdeğil-hüzünlü değil
çoksevinirim-çok sevinirim
alamadımçok-alamadım çok
surdışındaki-sur dışındaki
işinkötüsü-işin kötüsü
hayırişi-hayır işi
varmıçok-varmı çok
surlariçinde-surlar içinde
almayoluna-alma yoluna
sağkol-sağ kol
yandımı-yandı mı
geyikkoşan-geyik koşan
snowtrack-snow track
oyunsalonu-oyun salonu
ttarena-tt arena
hakmıdır-hak mıdır
benimevim-benim evim
yoğurtotu-yoğurt otu
youngturk-young turk
nasılbu-nasıl bu
senkronizeyüzme-senkronize yüzme
şeyher-şey her
öhomu-öho mu
cokrahatsız-cok rahatsız
telekomarenada-telekom arenada
elegüne-ele güne
vuraldemir-vural demir
gemisökümü-gemi sökümü
bjkbonus-bjk bonus
sonrabazı-sonra bazı
çokçeşitli-çok çeşitli
ihtimaldışı-ihtimal dışı
güzelolmaz-güzel olmaz
paraver-para ver
ettiğigerekçesiyle-ettiği gerekçesiyle
atmsinden-atm sinden
gerikalanının-geri kalanının
havatahmin-hava tahmin
hindistanpakistan-hindistan pakistan
kullanımıçok-kullanımı çok
lucile-luc ile
dağkızağı-dağ kızağı
altınve-altın ve
nedenbaşka-neden başka
ıolan-ı olan
araduraklarda-ara duraklarda
sizehaber-size haber
kılmakiçin-kılmak için
johnnyboy-johnny boy
gidecekyerim-gidecek yerim
bıkonu-bı konu
dontknow-dont know
beladiye-bela diye
bilmaruf-bil maruf
stericsson-st ericsson
kalınkaş-kalın kaş
busistem-bu sistem
giyat-giy at
kaçkilo-kaç kilo
edvan-ed van
görki-gör ki
lardamı-larda mı
üçyüz-üç yüz
tedaviedilirken-tedavi edilirken
oyalma-oy alma
zamandaistanbul-zamanda istanbul
iştebende-işte bende
sobig-so big
ötekidünya-öteki dünya
teomanpaşa-teoman paşa
havalıadam-havalı adam
petscan-pet scan
satışaçıkacak-satışa çıkacak
direktörüfatih-direktörü fatih
yağyakımına-yağ yakımına
hyunkyu-hyun kyu
eleavuca-ele avuca
konuşsammı-konuşsam mı
bipsesinden-bip sesinden
ulusdevlete-ulus devlete
hakkazandım-hak kazandım
mıknatısıolan-mıknatısı olan
kahverenkli-kahve renkli
hizmetdışı-hizmet dışı
ehlibilir-ehli bilir
evgibi-ev gibi
aynıolan-aynı olan
thecemaat-the cemaat
